#Eigenfaces  Variance  Identification Rate (%)
      5         48.9           0.66        
     10        60.94           0.84        
     15        67.26           0.88        
     20        71.75           0.87        
     25         75.0           0.88        
     30        77.68           0.88        
     35        79.97           0.88        
     40        81.82           0.89        
     45        83.45           0.9         
     50        84.85           0.9         
     55        86.11           0.9         
     60        87.25           0.9         
     65        88.27           0.9         
     70         89.2           0.9         
     75        90.05           0.88        
     80        90.83           0.88        
     85        91.56           0.9         
     90        92.24           0.9         
     95        92.87           0.9         
     100       93.46           0.9         
     105       94.02           0.9         
     110       94.55           0.91        
     115       95.04           0.91        
     120       95.51           0.91        
     125       95.95           0.92        
     130       96.36           0.92        
     135       96.76           0.92        
     140       97.13           0.92        
     145       97.48           0.92        
     150       97.81           0.91        
     155       98.11           0.91        
     160        98.4           0.92        
     165       98.67           0.92        
     170       98.92           0.92        
     175       99.16           0.91        
     180       99.38           0.92        
     185       99.58           0.92        
     190       99.76           0.92        
     195       99.92           0.92        
     200       100.0           0.92        
