Tarih;TP SANAYREV4 Y38;TP AKONUTSAT3 TOPLAM;TP MK CUM YTL;TP DK USD A YTL;TP TCBF01 TURKIYE
2016-01;76,18;40.077,00;704,25;3,01;2.148,99
2016-02;88,35;47.409,00;755,25;2,94;2.161,94
2016-03;108,26;52.374,00;766,50;2,89;2.189,27
2016-04;97,42;46.908,00;752,00;2,83;2.220,17
2016-05;102,39;56.043,00;790,75;2,93;2.259,22
2016-06;104,79;49.354,00;794,25;2,92;2.278,29
2016-07;80,47;37.829,00;836,40;2,96;2.331,71
2016-08;106,91;53.784,00;847,00;2,96;2.359,46
2016-09;89,29;50.972,00;842,20;2,96;2.376,67
2016-10;99,25;61.677,00;841,50;3,07;2.376,58
2016-11;104,45;63.467,00;877,25;3,27;2.391,15
2016-12;124,80;71.792,00;875,40;3,49;2.410,99
2017-01;77,92;44.235,00;957,25;3,73;2.384,58
2017-02;93,53;45.215,00;975,25;3,67;2.406,31
2017-03;117,84;56.376,00;974,80;3,67;2.439,49
2017-04;115,37;51.988,00;998,25;3,65;2.457,53
2017-05;116,89;52.976,00;961,75;3,56;2.487,85
2017-06;108,26;45.433,00;958,60;3,52;2.504,07
2017-07;113,24;53.949,00;952,75;3,56;2.520,34
2017-08;123,24;56.498,00;968,75;3,51;2.537,76
2017-09;147,50;70.019,00;979,50;3,47;2.544,86
2017-10;101,88;56.994,00;1.008,00;3,66;2.571,91
2017-11;103,31;59.354,00;1.066,50;3,88;2.573,42
2017-12;123,44;66.661,00;1.092,00;3,85;2.598,62
2018-01;85,34;44.363,00;1.114,75;3,77;2.614,52
2018-02;87,60;43.713,00;1.119,25;3,78;2.642,58
2018-03;105,61;50.701,00;1.141,20;3,88;2.645,79
2018-04;101,52;47.534,00;1.197,25;4,05;2.684,58
2018-05;110,84;55.502,00;1.280,75;4,41;2.718,50
2018-06;91,06;57.064,00;1.304,25;4,63;2.735,29
2018-07;105,67;57.617,00;1.306,25;4,75;2.747,69
2018-08;93,82;49.362,00;1.600,25;5,73;2.765,84
2018-09;105,35;60.219,00;1.673,75;6,37;2.803,59
2018-10;106,60;74.815,00;1.600,00;5,86;2.861,63
2018-11;116,74;40.821,00;1.478,40;5,37;2.852,80
2018-12;132,02;69.861,00;1.502,25;5,31;2.848,30
2019-01;84,33;31.048,00;1.561,50;5,37;2.756,36
2019-02;90,75;32.648,00;1.559,25;5,26;2.705,05
2019-03;109,62;44.163,00;1.604,80;5,44;2.697,88
2019-04;105,12;37.784,00;1.654,50;5,74;2.706,02
2019-05;110,48;37.246,00;1.730,25;6,05;2.723,77
2019-06;106,46;23.265,00;1.786,66;5,81;2.752,01
2019-07;95,44;38.931,00;1.781,25;5,67;2.789,57
2019-08;83,50;40.634,00;1.839,25;5,62;2.803,27
2019-09;95,57;51.393,00;1.899,00;5,71;2.824,79
2019-10;99,05;50.181,00;1.918,00;5,78;2.848,41
2019-11;101,55;48.909,00;1.880,00;5,73;2.885,67
2019-12;128,45;75.480,00;1.916,25;5,84;2.930,51
2020-01;82,81;36.040,00;2.037,80;5,92;2.999,64
2020-02;89,91;37.303,00;2.148,00;6,04;3.061,24
2020-03;;34.089,00;2.279,33;6,31;
2020-04;;;;6,73;
